semantic_replication_id,diagnostic_replay,route_type,route_number,route_source,nuclear_path_index,secondary_path_index,nuclear_penalty,nuclear_objective,first_path_index_for_rank,best_path_index_for_rank,start_rank_vector,original_start_max_abs_coefficient,start_common_scale,rescaled_start_max_abs_coefficient,start_common_rescaling_used,prepared_start_fingerprint,start_fit_reasons,start_fit_diagnostics,path,final_rank_vector,final_numerical_rank_vector,final_thresholded_rank_vector,final_objective,final_stationarity_residual,final_max_envelope_ratio,final_converged,final_valid,final_reasons,confirmation_start_id,perturbation_magnitude,perturbation_norm,starting_objective,convergence,stationarity,coefficient_envelope,numerical_rank,runtime,objective_gap_to_best,valid,invalid_reasons,confirmation_pass
dgp1_N50_T50_r00002_truth1-1-1,True,original,0.0,nuclear_path,2.0,0.0,0.04991626136629087,5.17797746253245,0.0,2.0,"[0, 0, 0]",0.0,1.0,0.0,False,0946e2eb0fb9ea7ddd935efd1922bc7d1f27101c69ce6d2f5145c7ee28f1b6ba,[],"{'start_objectives': [5.3574852582563635, 5.3574852582563635], 'start_stationarity_residuals': [0.0, 0.0], 'start_valid': [True, True], 'best_two_objective_gap': 0.0, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 0.0, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.0, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 0.0, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.0, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_0:initial_rank_(0, 0, 0):start_1', 'requested_rank': [0, 0, 0], 'numerical_rank': [0, 0, 0], 'objective_initial': 5.3574852582563635, 'objective_final': 5.3574852582563635, 'iterations': 1, 'converged': True, 'stationarity_residual': 0.0, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.0, 'final_coefficient_envelope': 0.0, 'coefficient_envelope_ratio': 0.0, 'coefficient_bound_pass': True, 'runtime_seconds': 0.001267499988898635, 'invalid_reasons': [], 'coefficient_envelope_history': [0.0, 0.0]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_0:initial_rank_(0, 0, 0):start_2', 'requested_rank': [0, 0, 0], 'numerical_rank': [0, 0, 0], 'objective_initial': 5.3574852582563635, 'objective_final': 5.3574852582563635, 'iterations': 1, 'converged': True, 'stationarity_residual': 0.0, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.0, 'final_coefficient_envelope': 0.0, 'coefficient_envelope_ratio': 0.0, 'coefficient_bound_pass': True, 'runtime_seconds': 0.0010605999850668013, 'invalid_reasons': [], 'coefficient_envelope_history': [0.0, 0.0]}]}","[{'ranks': [0, 0, 0], 'objective': 5.3574852582563635, 'valid': True, 'move': 'start'}, {'ranks': [1, 0, 0], 'objective': 2.6222467706513837, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 0, 1], 'objective': 2.03958288355246, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 1], 'objective': 1.6335113224242743, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 2], 'objective': 1.4840205145923895, 'valid': True, 'move': 'loss_improvement'}]","[1, 1, 2]","[1, 1, 2]","[1, 1, 2]",1.4840205145923895,2.973133515269878e-05,0.5391853843554079,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,original,1.0,nuclear_path,3.0,4.0,0.0399330090930327,4.981649486217424,3.0,4.0,"[1, 0, 0]",0.8420669088536138,1.0,0.8420669088536138,False,d0ee0f5955097ad64784bff14b78d1cccacbbfb13afb4eea7615763b0c0264f0,[],"{'start_objectives': [2.6222467706513837, 2.6222479403187253], 'start_stationarity_residuals': [1.0418938755656143e-05, 3.717657817717424e-05], 'start_valid': [True, True], 'best_two_objective_gap': 4.46055403610591e-07, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 0.8420669088536138, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.8420669088536138, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 0.9001160082527248, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.9001160082527248, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_1:initial_rank_(1, 0, 0):start_1', 'requested_rank': [1, 0, 0], 'numerical_rank': [1, 0, 0], 'objective_initial': 3.988914048876633, 'objective_final': 2.6222467706513837, 'iterations': 5, 'converged': True, 'stationarity_residual': 1.0418938755656143e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.8420669088536138, 'final_coefficient_envelope': 1.4382326199096913, 'coefficient_envelope_ratio': 0.15980362443441015, 'coefficient_bound_pass': True, 'runtime_seconds': 0.026996000000508502, 'invalid_reasons': [], 'coefficient_envelope_history': [0.8420669088536138, 1.5934888778854412, 1.4282660628313535, 1.436900263579686, 1.437981234217282, 1.4382326199096913]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_1:initial_rank_(1, 0, 0):start_2', 'requested_rank': [1, 0, 0], 'numerical_rank': [1, 0, 0], 'objective_initial': 3.684405318831808, 'objective_final': 2.6222479403187253, 'iterations': 4, 'converged': True, 'stationarity_residual': 3.717657817717424e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.9001160082527243, 'final_coefficient_envelope': 1.4380013267150935, 'coefficient_envelope_ratio': 0.15977792519056594, 'coefficient_bound_pass': True, 'runtime_seconds': 0.02613089999067597, 'invalid_reasons': [], 'coefficient_envelope_history': [0.9001160082527243, 1.4796958495162895, 1.430723436170921, 1.4370433887430063, 1.4380013267150935]}]}","[{'ranks': [1, 0, 0], 'objective': 2.6222467706513837, 'valid': True, 'move': 'start'}, {'ranks': [1, 0, 1], 'objective': 2.03958288355246, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 1], 'objective': 1.6335113224242743, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 2], 'objective': 1.4840205145923895, 'valid': True, 'move': 'loss_improvement'}]","[1, 1, 2]","[1, 1, 2]","[1, 1, 2]",1.4840205145923895,2.973133515269878e-05,0.5391853843554079,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,original,2.0,nuclear_path,5.0,4.0,0.025557125819540928,4.457354073048606,5.0,5.0,"[1, 1, 0]",0.9259177550322986,1.0,0.9259177550322986,False,d28f6845c3fea4fd3ca85d7efd6f517f61ef1c092ed31b5d84d766566146a67d,[],"{'start_objectives': [2.1287271659192766, 2.128727282727116], 'start_stationarity_residuals': [3.349298093911525e-05, 3.420621728894899e-05], 'start_valid': [True, True], 'best_two_objective_gap': 5.487215142974488e-08, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 0.9259177550322986, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.9259177550322986, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 0.9001160082527248, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.9001160082527248, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_2:initial_rank_(1, 1, 0):start_1', 'requested_rank': [1, 1, 0], 'numerical_rank': [1, 1, 0], 'objective_initial': 3.174515527032855, 'objective_final': 2.1287271659192766, 'iterations': 7, 'converged': True, 'stationarity_residual': 3.349298093911525e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.9259177550322982, 'final_coefficient_envelope': 3.6518617936702316, 'coefficient_envelope_ratio': 0.4057624215189146, 'coefficient_bound_pass': True, 'runtime_seconds': 0.05978020001202822, 'invalid_reasons': [], 'coefficient_envelope_history': [0.9259177550322982, 3.4953055804488087, 3.5768338911150943, 3.5779928329100232, 3.5943872618813706, 3.617258004838725, 3.637170152541652, 3.6518617936702316]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_2:initial_rank_(1, 1, 0):start_2', 'requested_rank': [1, 1, 0], 'numerical_rank': [1, 1, 0], 'objective_initial': 3.540645392302955, 'objective_final': 2.128727282727116, 'iterations': 7, 'converged': True, 'stationarity_residual': 3.420621728894899e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.9001160082527243, 'final_coefficient_envelope': 3.6513265392691454, 'coefficient_envelope_ratio': 0.4057029488076828, 'coefficient_bound_pass': True, 'runtime_seconds': 0.055872199998702854, 'invalid_reasons': [], 'coefficient_envelope_history': [0.9001160082527243, 3.678359148046376, 3.593160514296627, 3.5881061351076275, 3.5971018681874996, 3.617281973179254, 3.6365901400391767, 3.6513265392691454]}]}","[{'ranks': [1, 1, 0], 'objective': 2.1287271659192766, 'valid': True, 'move': 'start'}, {'ranks': [1, 1, 1], 'objective': 1.6335113224242743, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 2], 'objective': 1.4840205145923895, 'valid': True, 'move': 'loss_improvement'}]","[1, 1, 2]","[1, 1, 2]","[1, 1, 2]",1.4840205145923895,2.973133515269878e-05,0.5391853843554079,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,original,3.0,nuclear_path,21.0,16.0,0.0007193691394846595,0.45143553686167764,16.0,21.0,"[1, 2, 2]",4.426787957641114,1.0,4.426787957641114,False,d274903c994bb9b51bb45637ad56b54906e6bd949ea108f7b183b01a44a2f4ef,[],"{'start_objectives': [1.3374322823826592, 1.3374436897209918], 'start_stationarity_residuals': [2.55796439509407e-05, 2.7489322429171945e-05], 'start_valid': [True, True], 'best_two_objective_gap': 8.529282927342396e-06, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 4.426787957641114, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 4.426787957641114, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 4.06136141319159, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 4.06136141319159, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_3:initial_rank_(1, 2, 2):start_1', 'requested_rank': [1, 2, 2], 'numerical_rank': [1, 2, 2], 'objective_initial': 1.6629761817293889, 'objective_final': 1.3374322823826592, 'iterations': 26, 'converged': True, 'stationarity_residual': 2.55796439509407e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 4.426787957641114, 'final_coefficient_envelope': 6.553695646711802, 'coefficient_envelope_ratio': 0.7281884051902002, 'coefficient_bound_pass': True, 'runtime_seconds': 0.22311890000128187, 'invalid_reasons': [], 'coefficient_envelope_history': [4.426787957641114, 4.716484432738053, 5.030080807081059, 5.172189903590002, 5.972649609657659, 6.5957482924818045, 6.883605441731603, 6.9765667211435245, 6.966389923006808, 6.906379931274879, 6.827167566742242, 6.746390274720649, 6.673754165567358, 6.613844995821762, 6.567951228919095, 6.535373726784512, 6.5143684753946, 6.5027858127704485, 6.498466355122459, 6.499457727079105, 6.504110544045408, 6.5110999227342115, 6.519405531129675, 6.52827189645097, 6.537162258462092, 6.545713462620296, 6.553695646711802]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_3:initial_rank_(1, 2, 2):start_2', 'requested_rank': [1, 2, 2], 'numerical_rank': [1, 2, 2], 'objective_initial': 1.67320112485225, 'objective_final': 1.3374436897209918, 'iterations': 28, 'converged': True, 'stationarity_residual': 2.7489322429171945e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 4.061361413191589, 'final_coefficient_envelope': 6.56731074582354, 'coefficient_envelope_ratio': 0.7297011939803933, 'coefficient_bound_pass': True, 'runtime_seconds': 0.23087570001371205, 'invalid_reasons': [], 'coefficient_envelope_history': [4.061361413191589, 4.774858574259185, 5.008611270578702, 5.961315742687087, 6.392009419937096, 6.698318685336212, 7.003332639316395, 7.133986084924582, 7.159436565136158, 7.124034702749115, 7.055012170898479, 6.969874163636231, 6.880725659214762, 6.796080625042471, 6.721461786915689, 6.659756197631223, 6.611714293586557, 6.576582627224387, 6.552728136705741, 6.538143051915935, 6.5307924447610555, 6.528818663345818, 6.530638318343176, 6.534968713466413, 6.540813273337034, 6.547426598977136, 6.55427220643179, 6.560980485465589, 6.56731074582354]}]}","[{'ranks': [1, 2, 2], 'objective': 1.3374322823826592, 'valid': True, 'move': 'start'}]","[1, 2, 2]","[1, 2, 2]","[1, 2, 2]",1.3374322823826592,2.55796439509407e-05,0.7281884051902002,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,original,4.0,nuclear_path,10.0,6.0,0.008374558988547174,2.9471229328092576,6.0,10.0,"[1, 1, 1]",2.775201894864183,1.0,2.775201894864183,False,3ab7e90e6a18ea3615283fa13848f9a0bc983bde2ef1f34196356f99077180e0,[],"{'start_objectives': [1.63350989538587, 1.6335113224242743], 'start_stationarity_residuals': [3.373120055765222e-05, 3.5113756588182574e-05], 'start_valid': [True, True], 'best_two_objective_gap': 8.736025464948048e-07, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 2.775201894864183, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 2.775201894864183, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 0.9047746497019131, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.9047746497019131, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_4:initial_rank_(1, 1, 1):start_1', 'requested_rank': [1, 1, 1], 'numerical_rank': [1, 1, 1], 'objective_initial': 1.951684640140794, 'objective_final': 1.63350989538587, 'iterations': 11, 'converged': True, 'stationarity_residual': 3.373120055765222e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 2.775201894864182, 'final_coefficient_envelope': 4.526060333414882, 'coefficient_envelope_ratio': 0.5028955926016535, 'coefficient_bound_pass': True, 'runtime_seconds': 0.08279230000334792, 'invalid_reasons': [], 'coefficient_envelope_history': [2.775201894864182, 4.51254666347789, 4.547310255583206, 4.5078757658036315, 4.491304586298779, 4.490779166754198, 4.496702442668732, 4.50420654604688, 4.511295916181211, 4.517321856279919, 4.522201664181539, 4.526060333414882]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_4:initial_rank_(1, 1, 1):start_2', 'requested_rank': [1, 1, 1], 'numerical_rank': [1, 1, 1], 'objective_initial': 2.751745733461474, 'objective_final': 1.6335113224242743, 'iterations': 11, 'converged': True, 'stationarity_residual': 3.5113756588182574e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.9047746497019133, 'final_coefficient_envelope': 4.524722486288149, 'coefficient_envelope_ratio': 0.5027469429209055, 'coefficient_bound_pass': True, 'runtime_seconds': 0.08234679998713546, 'invalid_reasons': [], 'coefficient_envelope_history': [0.9047746497019133, 4.60277102998341, 4.686451631511894, 4.57206412379565, 4.513356328787013, 4.495602306310113, 4.495484601565317, 4.501390774598096, 4.508483056132564, 4.514986666265064, 4.520402603273988, 4.524722486288149]}]}","[{'ranks': [1, 1, 1], 'objective': 1.63350989538587, 'valid': True, 'move': 'start'}, {'ranks': [1, 1, 2], 'objective': 1.4840205145923895, 'valid': True, 'move': 'loss_improvement'}]","[1, 1, 2]","[1, 1, 2]","[1, 1, 2]",1.4840205145923895,2.973133515269878e-05,0.5391853843554079,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,original,5.0,nuclear_path,15.0,11.0,0.0027441754893671386,1.4665026436437545,11.0,15.0,"[1, 1, 2]",3.893060518918807,1.0,3.893060518918807,False,e6a1270dff14ef8e87a7108da55bc3902809a01b658f1c8d324742dcd4952397,[],"{'start_objectives': [1.4840098626330025, 1.4840205145923895], 'start_stationarity_residuals': [2.6352500243343135e-05, 2.973133515269878e-05], 'start_valid': [True, True], 'best_two_objective_gap': 7.1778225032060815e-06, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 3.893060518918807, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 3.893060518918807, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 3.071350259248065, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 3.071350259248065, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_5:initial_rank_(1, 1, 2):start_1', 'requested_rank': [1, 1, 2], 'numerical_rank': [1, 1, 2], 'objective_initial': 1.7426550740011928, 'objective_final': 1.4840098626330025, 'iterations': 11, 'converged': True, 'stationarity_residual': 2.6352500243343135e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 3.893060518918807, 'final_coefficient_envelope': 4.863909335705662, 'coefficient_envelope_ratio': 0.5404343706339625, 'coefficient_bound_pass': True, 'runtime_seconds': 0.10134230001131073, 'invalid_reasons': [], 'coefficient_envelope_history': [3.893060518918807, 4.459788933730401, 4.763059111559996, 4.835181296978266, 4.813795104453681, 4.821684563675081, 4.837456950729453, 4.846173955230472, 4.852278511012647, 4.857030039042186, 4.860841779404267, 4.863909335705662]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_5:initial_rank_(1, 1, 2):start_2', 'requested_rank': [1, 1, 2], 'numerical_rank': [1, 1, 2], 'objective_initial': 1.831512496927926, 'objective_final': 1.4840205145923895, 'iterations': 14, 'converged': True, 'stationarity_residual': 2.973133515269878e-05, 'stationarity_pass': True, 'initial_coefficient_envelope': 3.0713502592480673, 'final_coefficient_envelope': 4.852668459198671, 'coefficient_envelope_ratio': 0.5391853843554079, 'coefficient_bound_pass': True, 'runtime_seconds': 0.12267209999845363, 'invalid_reasons': [], 'coefficient_envelope_history': [3.0713502592480673, 4.859573597875339, 5.02223265812993, 4.976888478215077, 4.902637539542925, 4.83994736215697, 4.794686593778734, 4.764292493931693, 4.759944222971853, 4.7806409014173195, 4.80420519529149, 4.821872255423675, 4.835145920141708, 4.845136553055374, 4.852668459198671]}]}","[{'ranks': [1, 1, 2], 'objective': 1.4840098626330025, 'valid': True, 'move': 'start'}]","[1, 1, 2]","[1, 1, 2]","[1, 1, 2]",1.4840098626330025,2.6352500243343135e-05,0.5404343706339625,True,True,[],,,,,,,,,,,,,
dgp1_N50_T50_r00002_truth1-1-1,True,basin_confirmation,,,,,,,,,,,,,,,,,,,,,1.3374138854304949,,,,,,confirmation_1,0.0001,150.53058642548865,5.841503103088587,True,2.1714024185060197e-05,6.567441532070913,"[1, 2, 2]",0.035144499997841194,1.3755427027340009e-05,True,[],False
dgp1_N50_T50_r00002_truth1-1-1,True,basin_confirmation,,,,,,,,,,,,,,,,,,,,,1.3374138557251798,,,,,,confirmation_2,0.0003,150.53102580733446,5.8415207806353076,True,2.198667672691699e-05,6.567314606663768,"[1, 2, 2]",0.04346040001837537,1.3777637733248563e-05,True,[],False
dgp1_N50_T50_r00002_truth1-1-1,True,basin_confirmation,,,,,,,,,,,,,,,,,,,,,1.3374063971096273,,,,,,confirmation_3,0.001,150.53231889605465,5.84162451393054,True,2.063377341690081e-05,6.572963283905426,"[1, 2, 2]",0.056518199999118224,1.935445508001242e-05,True,[],False
dgp3_N50_T50_r00000_truth1-1-1,True,original,0.0,nuclear_path,1.0,0.0,0.07960011480061928,8.827368677357477,0.0,1.0,"[0, 0, 0]",0.0,1.0,0.0,False,0946e2eb0fb9ea7ddd935efd1922bc7d1f27101c69ce6d2f5145c7ee28f1b6ba,[],"{'start_objectives': [8.972667262277923, 8.972667262277923], 'start_stationarity_residuals': [0.0, 0.0], 'start_valid': [True, True], 'best_two_objective_gap': 0.0, 'objective_stability_pass': True, 'third_start_used': False, 'start_preparation': [{'original_max_abs_coefficient': 0.0, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.0, 'common_rescaling_used': False}, {'original_max_abs_coefficient': 0.0, 'applied_common_scale': 1.0, 'rescaled_max_abs_coefficient': 0.0, 'common_rescaling_used': False}], 'start_details': [{'start_number': 1, 'diagnostic_context': 'cap_pilot_route_0:initial_rank_(0, 0, 0):start_1', 'requested_rank': [0, 0, 0], 'numerical_rank': [0, 0, 0], 'objective_initial': 8.972667262277923, 'objective_final': 8.972667262277923, 'iterations': 1, 'converged': True, 'stationarity_residual': 0.0, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.0, 'final_coefficient_envelope': 0.0, 'coefficient_envelope_ratio': 0.0, 'coefficient_bound_pass': True, 'runtime_seconds': 0.0016737999976612628, 'invalid_reasons': [], 'coefficient_envelope_history': [0.0, 0.0]}, {'start_number': 2, 'diagnostic_context': 'cap_pilot_route_0:initial_rank_(0, 0, 0):start_2', 'requested_rank': [0, 0, 0], 'numerical_rank': [0, 0, 0], 'objective_initial': 8.972667262277923, 'objective_final': 8.972667262277923, 'iterations': 1, 'converged': True, 'stationarity_residual': 0.0, 'stationarity_pass': True, 'initial_coefficient_envelope': 0.0, 'final_coefficient_envelope': 0.0, 'coefficient_envelope_ratio': 0.0, 'coefficient_bound_pass': True, 'runtime_seconds': 0.001361699978588149, 'invalid_reasons': [], 'coefficient_envelope_history': [0.0, 0.0]}]}","[{'ranks': [0, 0, 0], 'objective': 8.972667262277923, 'valid': True, 'move': 'start'}, {'ranks': [1, 0, 0], 'objective': 3.210288829831298, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 0, 1], 'objective': 2.351759976330431, 'valid': True, 'move': 'loss_improvement'}, {'ranks': [1, 1, 1], 'objective': 1.9866879291269903, 'valid': True, 'move': 'loss_improvement'}]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]",1.9866879291269903,2.737944030648754e-05,0.8392153008937606,True,True,[],,,,,,,,,,,,,
